Emp_Name	Sex	Age
Winston	Male	31
Timothy	Male	45
Werner	Male	33
Joelle	Female	34
Keisha	Female	49
Cami	Female	45
Sheryll	Female	21
Yadira	Female	32
Edmond	Male	21
Irina	Female	29
Krystle	Female	52
Karisa	Female	21
Cynthia	Female	32
Jayme	Female	49
Kassie	Female	39
Noriko	Female	41
Antione	Male	49
Aron	Male	30
Cornelia	Female	37
Margorie	Female	41
Mozell	Female	26
Hettie	Female	49
Tynisha	Female	35
Marybelle	Female	41
Mittie	Female	35
Cyrstal	Female	27
Clark	Male	26
Garnett	Female	46
Julissa	Female	46
Nora	Female	23
